"stud_id","chal_1","chal_2","chal_3","chal_4","chal_5","q2_1_1","q2_1_2","q2_1_3","q2_1_4","q2_1_5","q2_1_6","q2_2_1","q2_2_2","q2_2_3","q2_2_4","q2_2_5","q2_2_6","q3_1_1","q3_1_2","q3_1_3","q3_1_4","q3_1_5","q3_1_6","q3_1_7","q3_1_8","q3_1_9","q3_1_10","q3_1_3_rev","s_cp","s_intrin","s_extrin","s_aut"
80704,0,0,1,1,0,2,3,2,3,2,3,2,1,2,1,2,1,2,1,5,2,3,1,2,1,2,1,1,0.4,1.66666666666667,2.33333333333333,1.6
80705,1,1,0,0,0,3,3,2,3,3,3,3,2,3,2,3,1,2,2,2,2,2,3,2,3,1,4,4,0.4,2.16666666666667,3,2.5
80706,1,1,0,1,1,2,3,2,2,2,3,2,2,2,2,2,1,2,3,4,2,2,2,2,1,2,2,2,0.8,2,2.16666666666667,2
80707,1,1,0,0,1,1,3,1,1,3,2,2,2,3,1,3,1,1,2,3,2,1,2,2,2,1,2,3,0.6,1.33333333333333,2.5,1.8
80708,1,1,1,1,1,2,3,3,2,3,3,3,2,3,2,,2,2,2.5,2,1,1,3,2,2,1,1,4,1,2.33333333333333,2.8,1.95
80709,1,1,1,1,1,2,3,2,3,2,3,3,2,3,3,2,2,2,2,3,1,1,2,3,2,2,2,3,1,2.33333333333333,2.66666666666667,2
80710,1,1,0,1,1,1,3,1,2,3,2,3,2,3,3,1,1,2,3,1,1,2,2,5,2,1,1,5,0.8,1.66666666666667,2.5,2.4
80711,1,1,1,1,1,3,2,3,2,3,2,3,3,2,3,3,1,3,2,3,2,5,2,3,3,1,3,3,1,2.5,2.5,2.7
80712,1,1,1,1,1,3,3,3,2,2,3,3,3,1,3,3,3,4,3,4,3,1,3,1,2,4,2,2,1,3,2.33333333333333,2.5
80713,1,1,1,1,1,3,2,2,2,1,3,2,3,1,3,2,2,3,4,2,2,3,3,4,3,2,2,4,1,2.66666666666667,1.66666666666667,3
80714,1,1,1,0,1,3,2,3,2,3,3,2,2,3,3,3,2,3,2,4,4,2,3,4,4,1,2,2,0.8,2.66666666666667,2.5,2.7
80715,1,1,1,1,1,3,1,2,2,1,3,2,3,2,3,1,3,3,3,1,2,2,4,4,2,1,2,5,1,2.83333333333333,1.5,2.8
80716,1,1,1,1,1,2,3,3,2,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,1,2,4,1,2.33333333333333,2,2.1
80717,1,1,0,1,1,2,3,3,3,2,3,3,2,3,3,2,2,1,2,1,2,3,2,5,2,2,2,5,0.8,2.5,2.66666666666667,2.6
80719,0,1,1,1,0,2,3,2,2,1,3,3,3,1,3,1,2,2,2,4,2,1,2,2,2,1,2,2,0.6,2.5,1.83333333333333,1.8
80720,1,1,1,1,1,2,3,2,3,3,3,3,2,3,2,3,2,2,3,5,5,3,2,2,2,1,2,1,1,2.16666666666667,3,2.3
80721,1,1,0,1,1,2,3,3,2,3,3,2,3,3,2,2,2,2,4,3,3,2,3,4,4,3,4,3,0.8,2.5,2.5,3.2
80722,1,1,0,1,0,3,3,3,1,2,3,3,3,3,3,2,2,3,2,4,3,2,2,4,3,3,2,2,0.6,2.83333333333333,2.33333333333333,2.6
80723,1,1,1,1,1,3,3,2,3,2,3,2,3,2,3,2,3,3,3,2,3,3,3,3,3,2,2,4,1,2.83333333333333,2.33333333333333,2.9
70801,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,2,2,5,3,2,2,1,1,1,2,1,1,3,3,1.7
70803,0,0,1,0,0,2,3,3,3,1,3,3,3,3,3,3,1,3,5,5,5,5,1,5,5,1,3,1,0.2,2.5,2.66666666666667,3.4
70804,0,0,0,1,0,2,2,1,1,1,3,3,1,3,3,3,3,2,1,5,3,2,4,5,2,1,5,1,0.2,2.16666666666667,2.16666666666667,2.6
70807,0,1,1,1,1,2,2,2,1,1,3,3,1,3,3,3,3,2,1,5,3,2,4,5,2,1,5,1,0.8,2.33333333333333,2.16666666666667,2.6
70808,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,2,5,3,3,2,3,2,3,2,1,4,3,1,2.83333333333333,3,2.8
70810,0,0,0,1,0,2,3,3,2,1,3,3,2,1,3,2,3,2,5,5,1,2,2,2,5,1,3,1,0.2,2.66666666666667,2,2.4
70811,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,4,2,4,3,5,3,2,1,1,3,2,1,3,3,2.6
70813,0,0,1,1,0,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,1,3,3,4,2,3,0.4,3,3,2.6
70814,1,1,1,1,1,3,2,3,1,2,2,3,2,3,2,1,3,2,1,4,5,5,1,3,5,1,5,2,1,2.5,2,3
70815,1,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,1,1,5,2,2,1,1,1,1,3,1,0.2,3,3,1.4
70816,1,1,0,0,1,3,3,2,3,3,3,1,3,3,3,1,3,5,1,5,4,1,1,1,2,1,1,1,0.6,2.83333333333333,2.33333333333333,1.8
70817,0,1,0,0,0,2,3,1,2,1,3,2,1,1,3,2,2,2,1,5,2,4,1,1,2,1,3,1,0.2,2,1.83333333333333,1.8
70818,0,0,1,0,1,2.5,2.5,2.5,2.5,2,3,3,3,3,3,2,1,1,1,5,1,1,1,1,1,2,1,1,0.4,2.5,2.5,1.1
70819,1,1,0,1,1,1,3,2,2,2,3,3,3,2,3,3,1,3,2,4,2,4,2,4,2,2,2,2,0.8,2.16666666666667,2.5,2.5
70820,1,1,0,1,1,2.5,2,3,2,1,3,3,2,3,3,2,3,3,1,5,1,5,1,3,3,4,2,1,0.8,2.75,2.16666666666667,2.4
40901,0,0,1,1,1,2,3,3,2,1,3,3,3,2,3,3,3,1,1,5,,2,2,1,2,1,2,1,0.6,2.83333333333333,2.33333333333333,1.44444444444444
40902,1,1,0,1,0,2,3,3,2,2,3,3,3,2,2,3,2,2,2,1,1,3,2,5,3,1,4,5,0.6,2.5,2.5,2.8
40903,1,1,0,1,1,2,3,3,2,1,3,2,3,1,3,3,3,4,2,,5,1,2,2,3,1,3,,0.8,2.83333333333333,2,2.55555555555556
40904,1,1,1,1,1,2,3,2,1,2,3,3,3,1,2,3,1,3,3,2,4,3,2,1,2,2,1,4,1,2.16666666666667,2.16666666666667,2.5
40905,1,1,0,1,1,3,3,2,3,1,3,3,3,1,3,2,3,2,2,1,4,3,4,4,2,1,2,5,0.8,2.83333333333333,2.16666666666667,2.9
40906,1,1,1,1,1,3,3,3,3,3,3,3,3,2,3,1,3,2,2,2,2,1,2,5,2,1,2,4,1,3,2.5,2.3
40907,1,0,1,1,1,3,3,2,3,,2,2,3,2,3,3,3,4,3,2,3,4,2,5,3,4,5,4,0.8,2.66666666666667,2.6,3.7
